"시도명",시군구명,시군구코드,도로명,상세위치,지정방향구분코드,금지구역총연장,주정차금지유형코드,평일주정차금지시작시각,평일주정차금지종료시각,평일주정차금지허용시간,토요일주정차금지시작시각,토요일주정차금지종료시각,토요일주정차금지허용시간,공휴일주정차금지시작시각,공휴일주정차금지종료시각,공휴일주정차금지허용시간,명절허용여부,시행일자,해제일자,관리기관명,관리기관전화번호,데이터기준일자
"부산광역시",사상구,26530,부산광역시 사상구 강변대로532번길,부산화훼공판장~낙동대로 교통섬,01,0.6,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 강선로,유심유도관~사상고등학교,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 강선로12번길,하프타임~사상교회,01,0.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 가야대로,진구경계~낙동대로,01,4,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 가야대로284번길,주례럭키정문~,01,0.45,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 가야대로330번길,정관장~KIT학생생활관,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 가야대로344번길,스타벅스~동서대,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 관문대로,국제식품~백양터널,01,2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 낙동대로,북구경계~사하구경계,01,9.1,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 낙동대로1002번길,대원3급정비~감전천3호교,01,0.4,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 낙동대로1016번길,감전IC삼거리~감전천,01,0.39,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 낙동대로1210번길,삼락교~부영한의원,01,0.52,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 농산물시장로,농산물도매시장교차로~강변대로,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 농산물시장로9번길,관리사업소~화훼공판장,01,0.51,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 농산물시장로25번길,농산물시장SK주유소~농산물시장로,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 농산물시장로26번길,농산물시장로(회전교차로)~정선벤딩,01,0.35,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 대동로,엄궁교차로~감전동교차로,01,3.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 모덕로,서부주유소(낙동대로)~상수도북부사업소,01,1.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 모라로110번길,롯데리아 신모라점~만선횟집,01,0.35,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로,진구경계~북구경계(DDC치킨),01,7,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로342번길,"LG신주례1단지, 2단지 사이",01,0.269,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로357번길,백양대로~부성슈퍼,01,0.3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로494번길,수협~백양대로504번길,01,0.7,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로500번길,4~24,01,0.15,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로504번길,옛날짜장~백양대로506번길,01,0.3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로506번길,백년오리~백양대로494번길,01,0.45,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로547번길,참좋은실버요양원~세기건업,01,0.4,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로561번길,은덕사~주감로,01,3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로572번길,청은빌라~ 백양대로,01,0.45,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로646번나길,청은빌라~ 진원파크빌,01,1,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로646번길,백양대로~ 행복한 교회,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 광장로105번길,사상역~백양대로646번길,01,1,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로659번길,백양대로~,01,0.25,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로686번길,세븐일레븐~미향파크빌라,01,0.13,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로700번길,신라대진입로~청구아파트 입구,01,0.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로703번길,영상사진관~운산로,01,0.4,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로778번길,삼화자동문전문점~ 덕상로,01,0.12,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로804번길,부산북부고용노동지청~부원파크,01,0.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로902번길,금화횟집~모라중학교,01,0.45,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로934번길,모라중학교~미니스톱,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로950번가길,건강마을~사상아동보건센터,01,0.4,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로950번나길,삼정그린코아~모라중학교,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로979번길,백양대로907번길~여로,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로979번가길,샤브향~모라동물병원,01,0.25,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로979번나길,샤브향~대광교회,01,0.3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로979번다길,백양대로979번길~광림전기,01,0.25,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로979번라길,백양대로980번길~모라한자,01,0.25,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로907번길,참좋은초록어린이집~베스킨라빈스,01,0.6,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로907번가길,동신약국~시티요양병원,01,0.4,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로907번나길,대광교회~산에산에,01,0.3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 백양대로907번다길,천성교회~943-23,01,0.33,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 삼덕로,성진산업~백양대로,01,1.3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 삼덕로5번길,부산솔빛학교~북부자동차정비,01,1,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 삼덕로45번길,세계로전기철물공구~두경볼트,01,0.9,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 삼덕로46번길,부일테크모~파워짐헬스,01,0.65,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 삼덕로46번안길,생활사박물관~삼영목욕탕,01,0.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 삼락천로,삼락교~북구경계,01,3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로,주례교차로~북구경계(태유미트),01,6,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로46번길,대경이엔지~경호빌라,01,0.53,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로104번길,성일전기~명진전기,01,0.33,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로123번길,킴스볼링~대게동해마당,01,0.15,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로137번길,대림자동차~미니비어,01,0.23,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로146번길,새마을금고~명진전기,01,0.21,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로147번길,삼대한의원~성진MP,01,0.3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로148번길,삼대한의원~청은빌라,01,0.32,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로161번길,사상농협감전지~괘법초등학교,01,0.35,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로162번길,탑마트~타임유통,01,0.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로163번길,사상우체국~밥상예찬,01,0.25,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로170번길,영남약국~신라그린빌라,01,0.22,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로181번길,기아자동차서부산지점~초량식당,01,0.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로202번길,뚜레쥬르 사상터미널점~한마음직업재활원,01,0.35,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로211번길,사상이마트~사상로 롯데리아,01,0.42,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로212번길,부전돼지국밥~ 문화미용실,01,0.36,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로223번길,김정숙치과~분수대,01,0.55,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로292번길,덕포1동행정복지센터 진입로,01,0.24,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로309번길,문일지역아동센터~사상로,01,0.4,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 사상로310번길,들께칼국수~강선로,01,0.7,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 새벽로,대궐안집~학장동 대흥오일뱅크,01,2.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 새벽로17번길,학장자동차운전학원~희원금속,01,0.44,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 새벽로18번길,애이치앤스틸~삼아금속,01,0.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 새벽시장로,동성콤프레샤~보생빌딩,01,1.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 새벽시장로45번길,대동콤프레샤~럭키메가마트,01,0.35,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 새벽시장로46번길,뉴텍하우징~태화식당,01,0.3,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 양지로,주감초등학교~ 보훈병원,01,0.53,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 양지로8번길,LG25~성불사,01,0.425,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 양지로22번길,주례119안전센터~양지로22번길 71,01,0.31,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 양지로24번길,양지떡 방앗간,01,0.33,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 양지로30번길,빅세일마트~용문사,01,0.6,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 양지로42번길,동일2차~양지로30번길,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 운산로,명미모텔~백양대로 오일뱅크셀프주차장,01,1.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 엄궁로,엄궁교차로~엔제리너스 엄궁점,01,2.2,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 엄궁북로,휴대폰대형할인마트~엄궁코오롱아파트,01,0.8,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 엄궁중로,낙동대로SK주유소~동궁초등학교,01,0.7,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주감로,진구경계~사상로104번길(중앙빌라),01,2.7,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주례로,트윈타워~ 수야미용실,01,1.6,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주례로9번길,CU~진사로,01,0.45,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주례로10번길,유진헤어~CU사상정원점,01,0.7,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주례로139번길,주례지구대~,01,0.4,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주례로149번길,주례로~,01,0.1,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주례로27번길,토담하우~락양고기전문점,01,0.25,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주례로28번길,락양고기전문점~주례여중,01,0.36,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 주례로34번길,주례성당~경남정보대,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 학감대로,사상근린공원~구덕터널,01,3.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 학감대로39번길,구덕터널입구~부산노인건강센터,01,0.6,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 학감대로49번길,구학초등학교~구덕대림아파트,01,0.7,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
"부산광역시",사상구,26530,부산광역시 사상구 학감대로123번길,신신장여관~학장삼성아파트,01,0.5,01,00:00,24:00,,00:00,24:00,,00:00,24:00,,N,1900-01-01,2100-01-01,부산광역시 사상구청,051-310-4506,2019-02-20
