"거주자우선주차구획번호",거주자우선주차구획위도,거주자우선주차구획경도,거주자우선주차구역명,소재지도로명주소,소재지지번주소,운영형태,사용시간대정보,사용기간,이용요금,이용요금할인정보,이용요금결제방법,이용요금환불안내정보,정기접수시작일자,정기접수종료일자,신청방법,신청서류,관리기관전화번호,관리기관명,데이터기준일자
26530-620-005,35.168296,128.979038,괘법수로교주변,부산광역시 사상구,부산광역시 사상구 괘법동 520-1,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-620-006,35.157314,128.985631,감전농협주변,부산광역시 사상구,부산광역시 사상구 괘법동 583-23,주간,08:00~19:00,1월~12월,주간:3만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-001,35.1543151,128.9794166,감전동주민센터주변,부산광역시 사상구,부산광역시 사상구 감전동 920-10,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-002,35.156296,128.991119,감전역주변(상.하단),부산광역시 사상구,부산광역시 사상구 감전동 209-3,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-003,35.156312,128.986035,감전시장주변,부산광역시 사상구,부산광역시 사상구 감전동 120-31,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-004,35.154211,128.978548,서감남길주변,부산광역시 사상구,부산광역시 사상구 감전동 806-2,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-005,35.1530835,128.9909806,구청3길주변,부산광역시 사상구,부산광역시 사상구 감전동 138-2,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-006,35.1543463,128.9791305,감전동주변,부산광역시 사상구,부산광역시 사상구 감전동 589-2,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-007,35.157386,128.985964,감전농협주변,부산광역시 사상구,부산광역시 사상구 감전동 105-14,주간,08:00~19:00,1월~12월,주간:3만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-008,35.158447,128.986972,포플러주거지,부산광역시 사상구,부산광역시 사상구 감전동 104-50,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-645-009,35.158271,128.991548,참조은실버요양원앞,부산광역시 사상구,부산광역시 사상구 감전동 256-1,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-650-001,35.156301,128.004976,창신주택주변,부산광역시 사상구,부산광역시 사상구 주례동 291-2,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-650-003,35.1549508,128.9969674,경동리인아파트주변,부산광역시 사상구 백양대로506번길,부산광역시 사상구 주례동 991,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-650-004,35.152432,128.996332,굴다리주변,부산광역시 사상구,부산광역시 사상구 주례동 1256-1,주간,08:00~19:00,1월~12월,주간:3만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-650-005,35.155931,128.004643,양지마을주변,부산광역시 사상구,부산광역시 사상구 주례동 294,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-650-006,35.152423,128.003887,백양고가도로,부산광역시 사상구,부산광역시 사상구 주례동 333-52,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-650-007,35.153398,128.006956,주례보훈병원후문,부산광역시 사상구,부산광역시 사상구 주례동 235,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-001,35.149421,128.013394,냉정맨션옆,부산광역시 사상구,부산광역시 사상구 주례동 55-139,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-002,35.149495,128.009156,태원아파트주변,부산광역시 사상구,부산광역시 사상구 주례동 92-2,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-003,35.150676,128.016086,엄광길주변,부산광역시 사상구,부산광역시 사상구 주례동 1285-8,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-005,35.151047,129.015258,일산맨션주변,부산광역시 사상구,부산광역시 사상구 주례동 54-3,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-006,35.151875,129.013228,냉정역4번출구주변,부산광역시 사상구 주감로 250,부산광역시 사상구 주례동 24-3,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-007,35.150297,129.010413,주례2동주민센터,부산광역시 사상구,부산광역시 사상구 주례동 154,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-009,35.148108,129.008429,우진맨션주변,부산광역시 사상구,부산광역시 사상구 주례동 92-207,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-010,35.149163,129.009371,장성주차장,부산광역시 사상구,부산광역시 사상구 주례동 92-98,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-011,35.1483203,129.0144293,주례중학교주변,부산광역시 사상구,부산광역시 사상구 주례동 82-13,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-012,35.147789,129.013198,경남정보대학주변,부산광역시 사상구,"부산광역시 사상구 주례동 80-2, 10",전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-001,35.148681,129.007022,주례여중학교주변,부산광역시 사상구,부산광역시 사상구 주례동 95,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-002,35.1487268,129.0027431,주례럭키아파트도로,부산광역시 사상구 냉정로,부산광역시 사상구 주례동 595,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-003,35.146952,128.998968,주례교도소주변,부산광역시 사상구,부산광역시 사상구 주례동 646-4,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-004,35.148274,129.005625,조양맨션주변,부산광역시 사상구,부산광역시 사상구 주례동 122,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-006,35.1455437,129.0033197,동주중학교주변,부산광역시 사상구,부산광역시 사상구 주례동 1262-1,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-007,35.144903,129.002877,동주윗길주변,부산광역시 사상구,부산광역시 사상구 주례동 545-18,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-011,35.144628,129.003206,동주윗길2주변,부산광역시 사상구,부산광역시 사상구 주례동 544-27,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-012,35.144348,129.003571,동주윗길3주변,부산광역시 사상구,부산광역시 사상구 주례동 544-52,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-013,35.145242,129.002523,일신주택주변,부산광역시 사상구,부산광역시 사상구 주례동 547-69,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-670-002,35.141285,128.983297,성심메디칼,부산광역시 사상구,부산광역시 사상구 학장동 611-6,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-670-005,35.139093,128.984049,삼성1차아파트주변,부산광역시 사상구,부산광역시 사상구 학장동 574-111,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-670-007,35.142182,128.986284,위뜨락마을,부산광역시 사상구,부산광역시 사상구 학장동 474-3,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
